id,gene_short_name,num_cells_expressed,is_tf,tf_family
AT1G05000,AT1G05000,2690,no,
AT1G05010,AT1G05010,2157,no,
AT1G05020,AT1G05020,743,no,
AT1G05030,AT1G05030,1504,no,
AT1G05040,AT1G05040,28,no,
AT1G05055,AT1G05055,3019,no,
AT1G05060,AT1G05060,2289,no,
AT1G05065,AT1G05065,529,no,
AT1G05070,AT1G05070,4229,no,
AT1G05090,AT1G05090,858,no,
AT1G05120,AT1G05120,4087,no,
AT1G05140,AT1G05140,837,no,
AT1G05150,AT1G05150,5271,no,
AT1G05160,AT1G05160,2354,no,
AT1G05170,AT1G05170,8094,no,
AT1G05180,AT1G05180,6740,no,
AT1G05190,AT1G05190,2645,no,
AT1G05200,AT1G05200,1340,no,
AT1G05205,AT1G05205,14725,no,
AT1G05210,AT1G05210,8124,no,
AT1G05220,AT1G05220,2930,no,
AT1G05230,AT1G05230,182,yes,HD-ZIP
AT1G05240,AT1G05240,16,no,
AT1G05250,AT1G05250,461,no,
AT1G05260,AT1G05260,6300,no,
AT1G05270,AT1G05270,10257,no,
AT1G05280,AT1G05280,3564,no,
AT1G05300,AT1G05300,3161,no,
AT1G05310,AT1G05310,41,no,
AT1G05320,AT1G05320,3841,no,
AT1G05330,AT1G05330,192,no,
AT1G05340,AT1G05340,18548,no,
AT1G05350,AT1G05350,9627,no,
AT1G05360,AT1G05360,6318,no,
AT1G05380,AT1G05380,5177,no,
AT1G05385,AT1G05385,1147,no,
AT1G05400,AT1G05400,879,no,
AT1G05410,AT1G05410,3020,no,
AT1G05420,AT1G05420,938,no,
AT1G05430,AT1G05430,6872,no,
AT1G05440,AT1G05440,191,no,
AT1G05450,AT1G05450,59,no,
AT1G05460,AT1G05460,510,no,
AT1G05470,AT1G05470,485,no,
AT1G05490,AT1G05490,564,no,
AT1G05500,AT1G05500,10158,no,
AT1G05510,AT1G05510,130,no,
AT1G05520,AT1G05520,5648,no,
AT1G05540,AT1G05540,292,no,
AT1G05570,AT1G05570,1124,no,
AT1G05590,AT1G05590,2124,no,
AT1G05600,AT1G05600,364,no,
AT1G05620,AT1G05620,13537,no,
AT1G05630,AT1G05630,1556,no,
AT1G05640,AT1G05640,217,no,
AT1G05650,AT1G05650,1343,no,
AT1G05660,AT1G05660,3284,no,
AT1G05670,AT1G05670,714,no,
AT1G05675,AT1G05675,535,no,
AT1G05680,AT1G05680,7928,no,
AT1G05690,AT1G05690,830,no,
AT1G05700,AT1G05700,44,no,
AT1G05710,AT1G05710,3488,yes,bHLH
AT1G05720,AT1G05720,10202,no,
AT1G05730,AT1G05730,790,no,
AT1G05740,AT1G05740,33,no,
AT1G05750,AT1G05750,254,no,
AT1G05770,AT1G05770,138,no,
AT1G05780,AT1G05780,4723,no,
AT1G05785,AT1G05785,8783,no,
AT1G05790,AT1G05790,3068,no,
AT1G05800,AT1G05800,211,no,
AT1G05805,AT1G05805,4487,yes,bHLH
AT1G05810,AT1G05810,9591,no,
AT1G05820,AT1G05820,980,no,
AT1G05830,AT1G05830,2613,no,
AT1G05835,AT1G05835,610,no,
AT1G05840,AT1G05840,4441,no,
AT1G05850,AT1G05850,21768,no,
AT1G05860,AT1G05860,3781,no,
AT1G05870,AT1G05870,7454,no,
AT1G05890,AT1G05890,6437,no,
AT1G05894,AT1G05894,494,no,
AT1G05900,AT1G05900,1895,no,
AT1G05910,AT1G05910,2216,no,
AT1G05920,AT1G05920,58,no,
AT1G05940,AT1G05940,4647,no,
AT1G05950,AT1G05950,327,no,
AT1G05960,AT1G05960,10098,no,
AT1G05970,AT1G05970,2939,no,
AT1G05990,AT1G05990,557,no,
AT1G06000,AT1G06000,8654,no,
AT1G06010,AT1G06010,9162,no,
AT1G06020,AT1G06020,236,no,
AT1G06030,AT1G06030,535,no,
AT1G06040,AT1G06040,11724,yes,DBB
AT1G06050,AT1G06050,2627,no,
AT1G06060,AT1G06060,9763,no,
AT1G06070,AT1G06070,5958,yes,bZIP
AT1G06080,AT1G06080,1447,no,
AT1G06090,AT1G06090,4419,no,
AT1G06110,AT1G06110,6508,no,
AT1G06120,AT1G06120,2491,no,
AT1G06130,AT1G06130,6178,no,
AT1G06135,AT1G06135,1037,no,
AT1G06140,AT1G06140,279,no,
AT1G06150,AT1G06150,884,no,
AT1G06148,AT1G06148,81,no,
AT1G06180,AT1G06180,2603,yes,MYB
AT1G06190,AT1G06190,3267,no,
AT1G06200,AT1G06200,12985,no,
AT1G06210,AT1G06210,9758,no,
AT1G06220,AT1G06220,3537,no,
AT1G06225,AT1G06225,22,no,
AT1G06230,AT1G06230,5512,no,
AT1G06240,AT1G06240,1706,no,
AT1G06250,AT1G06250,16,no,
AT1G06270,AT1G06270,606,no,
AT1G06290,AT1G06290,10681,no,
AT1G06310,AT1G06310,405,no,
AT1G06320,AT1G06320,723,no,
AT1G06330,AT1G06330,1289,no,
AT1G06350,AT1G06350,214,no,
AT1G06380,AT1G06380,1675,no,
AT1G06390,AT1G06390,9597,no,
AT1G06400,AT1G06400,14045,no,
AT1G06410,AT1G06410,13767,no,
AT1G06420,AT1G06420,883,no,
AT1G06430,AT1G06430,1666,no,
AT1G06440,AT1G06440,278,no,
AT1G06450,AT1G06450,2019,no,
AT1G06460,AT1G06460,451,no,
AT1G06470,AT1G06470,4736,no,
AT1G06475,AT1G06475,2175,no,
AT1G06490,AT1G06490,196,no,
AT1G06500,AT1G06500,2155,no,
AT1G06515,AT1G06515,10099,no,
AT1G06510,AT1G06510,2056,no,
AT1G06520,AT1G06520,213,no,
AT1G06530,AT1G06530,6989,no,
AT1G06540,AT1G06540,523,no,
AT1G06550,AT1G06550,8630,no,
AT1G06560,AT1G06560,1632,no,
AT1G06570,AT1G06570,7322,no,
AT1G06580,AT1G06580,576,no,
AT1G06590,AT1G06590,1466,no,
AT1G06620,AT1G06620,12527,no,
AT1G06630,AT1G06630,7564,no,
AT1G06640,AT1G06640,7524,no,
AT1G06645,AT1G06645,970,no,
AT1G06650,AT1G06650,221,no,
AT1G06660,AT1G06660,497,no,
AT1G06670,AT1G06670,2050,no,
AT1G06680,AT1G06680,702,no,
AT1G06690,AT1G06690,891,no,
AT1G06700,AT1G06700,14319,no,
AT1G06710,AT1G06710,161,no,
AT1G06720,AT1G06720,1903,no,
AT1G06730,AT1G06730,3407,no,
AT1G06750,AT1G06750,154,no,
AT1G06760,AT1G06760,11931,no,
AT1G06770,AT1G06770,3114,no,
AT1G06780,AT1G06780,9001,no,
AT1G06790,AT1G06790,2979,no,
AT1G06800,AT1G06800,6307,no,
AT1G06820,AT1G06820,2486,no,
AT1G06840,AT1G06840,4011,no,
AT1G06850,AT1G06850,5624,yes,bZIP
AT1G06870,AT1G06870,11803,no,
AT1G06890,AT1G06890,12301,no,
AT1G06900,AT1G06900,5313,no,
AT1G06910,AT1G06910,798,yes,MYB_related
AT1G06923,AT1G06923,2428,no,
AT1G06925,AT1G06925,59,no,
AT1G06930,AT1G06930,3406,no,
AT1G06950,AT1G06950,2649,no,
AT1G06960,AT1G06960,4418,no,
AT1G06970,AT1G06970,77,no,
AT1G06980,AT1G06980,1295,no,
AT1G07000,AT1G07000,7428,no,
AT1G07010,AT1G07010,161,no,
AT1G07020,AT1G07020,10343,no,
AT1G07030,AT1G07030,11120,no,
AT1G07040,AT1G07040,5717,no,
AT1G07060,AT1G07060,37,no,
AT1G07070,AT1G07070,5223,no,
AT1G07080,AT1G07080,11202,no,
AT1G07090,AT1G07090,629,no,
AT1G07110,AT1G07110,3753,no,
AT1G07130,AT1G07130,3689,no,
AT1G07135,AT1G07135,11220,no,
AT1G07140,AT1G07140,20399,no,
AT1G07150,AT1G07150,7700,no,
AT1G07160,AT1G07160,2874,no,
AT1G07170,AT1G07170,9555,no,
AT1G07175,AT1G07175,2672,no,
AT1G07180,AT1G07180,325,no,
AT1G07200,AT1G07200,2663,no,
AT1G07210,AT1G07210,8096,no,
AT1G07220,AT1G07220,1976,no,
AT1G07230,AT1G07230,3076,no,
AT1G07240,AT1G07240,3403,no,
AT1G07250,AT1G07250,3041,no,
AT1G07260,AT1G07260,2012,no,
AT1G07270,AT1G07270,174,no,
AT1G07290,AT1G07290,1935,no,
AT1G07300,AT1G07300,1292,no,
AT1G07310,AT1G07310,8792,no,
AT1G07320,AT1G07320,2339,no,
AT1G07350,AT1G07350,11454,no,
AT1G07360,AT1G07360,11445,no,
AT1G07370,AT1G07370,3365,no,
AT1G07380,AT1G07380,1337,no,
AT1G07390,AT1G07390,73,no,
AT1G07400,AT1G07400,8409,no,
AT1G07410,AT1G07410,4032,no,
AT1G07420,AT1G07420,12042,no,
AT1G07430,AT1G07430,579,no,
AT1G07470,AT1G07470,8702,no,
AT1G07473,AT1G07473,74,no,
AT1G07480,AT1G07480,9320,no,
AT1G07485,AT1G07485,204,no,
AT1G07490,AT1G07490,970,no,
AT1G07510,AT1G07510,5047,no,
AT1G07500,AT1G07500,676,no,
AT1G07520,AT1G07520,4888,yes,GRAS
AT1G07530,AT1G07530,6181,yes,GRAS
AT1G07560,AT1G07560,88,no,
AT1G07570,AT1G07570,3495,no,
AT1G07590,AT1G07590,21900,no,
AT1G07610,AT1G07610,7979,no,
AT1G07615,AT1G07615,1495,no,
AT1G07620,AT1G07620,107,no,
AT1G07630,AT1G07630,4120,no,
AT1G07640,AT1G07640,2145,yes,Dof
AT1G07650,AT1G07650,1525,no,
AT1G07645,AT1G07645,113,no,
AT1G07660,AT1G07660,8182,no,
AT1G07670,AT1G07670,10833,no,
AT1G07680,AT1G07680,103,no,
AT1G07690,AT1G07690,140,no,
AT1G07700,AT1G07700,733,no,
AT1G07705,AT1G07705,2296,no,
AT1G07710,AT1G07710,156,no,
AT1G07725,AT1G07725,144,no,
AT1G07740,AT1G07740,327,no,
AT1G07745,AT1G07745,1455,no,
AT1G07747,AT1G07747,18,no,
AT1G07750,AT1G07750,14649,no,
AT1G07770,AT1G07770,19788,no,
AT1G07780,AT1G07780,1776,no,
AT1G07790,AT1G07790,6161,no,
AT1G07795,AT1G07795,1642,no,
AT1G07810,AT1G07810,6302,no,
AT1G07820,AT1G07820,11595,no,
AT1G07830,AT1G07830,5431,no,
AT1G07840,AT1G07840,3455,no,
AT1G07850,AT1G07850,31,no,
AT1G07870,AT1G07870,5868,no,
AT1G07880,AT1G07880,147,no,
AT1G07890,AT1G07890,25693,no,
AT1G07910,AT1G07910,1116,no,
AT1G07920,AT1G07920,19393,no,
AT1G07930,AT1G07930,14835,no,
AT1G07940,AT1G07940,19671,no,
AT1G07950,AT1G07950,6718,no,
AT1G07960,AT1G07960,13382,no,
AT1G07970,AT1G07970,1827,no,
AT1G07980,AT1G07980,8136,yes,NF-YC
AT1G07985,AT1G07985,8476,no,
AT1G07990,AT1G07990,5165,no,
AT1G08000,AT1G08000,2043,yes,GATA
AT1G08010,AT1G08010,9153,yes,GATA
AT1G08030,AT1G08030,3984,no,
AT1G08035,AT1G08035,67,no,
AT1G08040,AT1G08040,3355,no,
AT1G08050,AT1G08050,4285,no,
AT1G08060,AT1G08060,1679,no,
AT1G08070,AT1G08070,279,no,
AT1G08090,AT1G08090,53,no,
AT1G08110,AT1G08110,12582,no,
AT1G08120,AT1G08120,13,no,
AT1G08125,AT1G08125,3454,no,
AT1G08130,AT1G08130,3268,no,
AT1G08160,AT1G08160,516,no,
AT1G08180,AT1G08180,1581,no,
AT1G08190,AT1G08190,10777,no,
AT1G08200,AT1G08200,20886,no,
AT1G08210,AT1G08210,5297,no,
AT1G08220,AT1G08220,2551,no,
AT1G08230,AT1G08230,1872,no,
AT1G08250,AT1G08250,1528,no,
AT1G08260,AT1G08260,993,no,
AT1G08270,AT1G08270,795,no,
AT1G08280,AT1G08280,2240,no,
AT1G08290,AT1G08290,403,yes,C2H2
AT1G08300,AT1G08300,679,no,
AT1G08310,AT1G08310,1553,no,
AT1G08315,AT1G08315,5852,no,
AT1G08320,AT1G08320,2025,yes,bZIP
AT1G08340,AT1G08340,4090,no,
AT1G08350,AT1G08350,4822,no,
AT1G08360,AT1G08360,16384,no,
AT1G08370,AT1G08370,10328,no,
AT1G08380,AT1G08380,517,no,
AT1G08390,AT1G08390,2313,no,
AT1G08400,AT1G08400,871,no,
AT1G08410,AT1G08410,1832,no,
AT1G08420,AT1G08420,4955,no,
AT1G08430,AT1G08430,1212,no,
AT1G08450,AT1G08450,7664,no,
AT1G08460,AT1G08460,4945,no,
AT1G08470,AT1G08470,4633,no,
AT1G08480,AT1G08480,20627,no,
AT1G08490,AT1G08490,6426,no,
AT1G08500,AT1G08500,10334,no,
AT1G08510,AT1G08510,13373,no,
AT1G08520,AT1G08520,1632,no,
AT1G08530,AT1G08530,3149,no,
AT1G08540,AT1G08540,2138,no,
AT1G08550,AT1G08550,1392,no,
AT1G08560,AT1G08560,714,no,
AT1G08570,AT1G08570,16447,no,
AT1G08580,AT1G08580,5618,no,
AT1G08590,AT1G08590,4278,no,
AT1G08600,AT1G08600,3734,no,
AT1G08610,AT1G08610,482,no,
AT1G08620,AT1G08620,4439,no,
AT1G08630,AT1G08630,185,no,
AT1G08640,AT1G08640,3294,no,
AT1G08650,AT1G08650,10299,no,
AT1G08660,AT1G08660,6283,no,
AT1G08670,AT1G08670,366,no,
AT1G08680,AT1G08680,5612,no,
AT1G08700,AT1G08700,4463,no,
AT1G08710,AT1G08710,4618,no,
AT1G08720,AT1G08720,3154,no,
AT1G08730,AT1G08730,494,no,
AT1G08750,AT1G08750,4122,no,
AT1G08760,AT1G08760,4359,no,
AT1G08770,AT1G08770,8472,no,
AT1G08780,AT1G08780,8626,no,
AT1G08800,AT1G08800,11166,no,
